"carat","cut","color","clarity","depth","table","price","x","y","z"
0.54,"Very Good","G","SI1",62.2,57,1241,5.17,5.22,3.23
1.64,"Ideal","I","VS2",62.5,56,10562,7.58,7.52,4.72
0.97,"Ideal","F","SI2",62.4,55,3569,6.38,6.34,3.97
2,"Very Good","F","SI1",63.3,56,15851,8,7.93,5.04
0.71,"Good","E","VS1",59.4,61,3464,5.8,5.89,3.47
1.34,"Premium","E","IF",61.8,58,17663,7.15,7.08,4.4
0.32,"Ideal","E","VVS2",62.3,56,1080,4.4,4.37,2.73
0.92,"Very Good","F","SI2",60.6,63,3534,6.34,6.25,3.81
0.42,"Ideal","E","SI1",62.6,57,992,4.84,4.81,3.02
0.23,"Very Good","E","VVS2",63.8,57,485,3.88,3.9,2.48
0.31,"Good","E","SI1",63.1,55,544,4.33,4.36,2.74
0.9,"Very Good","F","VS2",61.7,57,4493,6.17,6.21,3.82
1.01,"Very Good","F","VS1",63.7,56,7001,6.27,6.33,4.01
0.72,"Ideal","H","SI2",61.4,55,2112,5.81,5.78,3.56
0.6,"Ideal","F","VVS2",61,57,2718,5.43,5.46,3.32
1.08,"Ideal","H","VS1",61.9,57,5791,6.58,6.64,4.09
1.01,"Ideal","G","VS2",62.7,54,6937,6.43,6.47,4.04
0.71,"Very Good","H","VS2",59.2,63,2450,5.85,5.81,3.45
0.3,"Very Good","D","VS2",62,58,710,4.29,4.32,2.67
0.34,"Premium","D","SI1",59.8,61,803,4.53,4.5,2.7
1,"Premium","G","SI2",61.8,60,4284,6.37,6.34,3.93
1.01,"Very Good","E","VS2",62.9,57,6488,6.37,6.43,4.02
0.7,"Ideal","H","SI1",61.8,53,2499,5.71,5.74,3.54
1.01,"Very Good","F","SI2",62.3,59,4384,6.31,6.37,3.95
0.92,"Very Good","G","SI2",62.4,60,3713,6.18,6.22,3.87
1.58,"Very Good","F","SI2",63.2,57,6813,7.43,7.38,4.68
1.04,"Premium","G","VS2",61.8,58,6709,6.51,6.46,4.01
1.21,"Premium","F","SI2",61.8,59,4472,6.82,6.77,4.2
0.23,"Premium","D","VS2",58.5,61,411,4.06,3.98,2.35
1.04,"Ideal","E","SI2",61.1,56,5067,6.55,6.51,3.99
0.34,"Ideal","E","VVS1",62.3,56,1014,4.45,4.48,2.78
0.43,"Premium","D","VS2",60.7,58,1129,4.88,4.84,2.95
0.33,"Ideal","D","SI2",61.3,56,492,4.45,4.49,2.74
0.7,"Very Good","E","VVS1",61.6,61,4171,5.7,5.73,3.52
1.54,"Fair","E","SI1",64.7,56,12581,7.28,7.22,4.69
1.03,"Ideal","D","SI2",61.8,54,5105,6.52,6.46,4.01
0.31,"Ideal","I","VVS1",61.4,54,571,4.38,4.41,2.7
0.75,"Ideal","J","VS2",62.3,57,1923,5.81,5.84,3.63
0.35,"Very Good","H","SI1",61.3,55,504,4.55,4.58,2.8
1.16,"Ideal","H","SI1",62.2,55,5554,6.79,6.74,4.21
1.04,"Ideal","H","SI1",60.3,57,4629,6.55,6.58,3.96
0.7,"Ideal","I","VS1",63.1,54,2142,5.61,5.67,3.56
0.33,"Ideal","D","SI2",60.9,56,492,4.45,4.48,2.72
0.31,"Good","I","SI1",63.3,53,408,4.3,4.32,2.73
0.25,"Fair","F","SI2",54.4,64,1013,4.3,4.23,2.32
0.33,"Very Good","F","IF",58.7,55,897,4.56,4.6,2.69
0.3,"Ideal","E","VVS1",61.6,55,838,4.34,4.36,2.68
0.3,"Ideal","G","VVS1",62.3,54,764,4.32,4.35,2.7
0.71,"Ideal","G","SI2",61.8,56,2031,5.7,5.72,3.53
0.77,"Ideal","E","SI1",62.5,56,3000,5.87,5.91,3.68
1.11,"Ideal","F","VVS1",62.1,57,12956,6.62,6.69,4.13
0.3,"Premium","E","VS2",62.5,58,844,4.31,4.26,2.68
1.01,"Very Good","F","SI2",63.2,59,4497,6.38,6.35,4.02
0.32,"Premium","E","VVS2",61.5,58,842,4.36,4.42,2.7
0.54,"Ideal","D","VS2",62.6,57,1993,5.24,5.18,3.26
0.48,"Ideal","G","SI1",61.4,56,969,5.02,5.07,3.1
0.54,"Ideal","G","VVS1",62,57,2030,5.25,5.21,3.24
0.46,"Premium","E","VS1",62,58,1355,4.98,4.95,3.08
0.56,"Good","E","VS1",59.8,61,1951,5.35,5.36,3.2
0.26,"Ideal","E","VS1",61.8,55,452,4.09,4.13,2.54
1.36,"Very Good","D","VVS2",62.6,58,14236,7.06,7.21,4.47
0.39,"Very Good","G","SI1",62.5,55,694,4.68,4.7,2.93
0.33,"Premium","G","VS2",62,58,743,4.45,4.42,2.75
0.76,"Ideal","F","VS2",61.9,57,3648,5.83,5.86,3.62
1.01,"Ideal","G","VS1",59.1,55,7059,6.6,6.53,3.88
0.36,"Ideal","J","SI1",61.6,56,597,4.61,4.58,2.83
1.03,"Premium","E","VS1",62.8,58,8629,6.46,6.41,4.04
0.54,"Premium","D","SI1",60.4,60,1786,5.24,5.22,3.16
0.72,"Premium","G","VS1",58.9,58,3032,5.93,5.85,3.47
1.86,"Premium","G","SI2",62.8,58,13420,7.83,7.75,4.89
0.42,"Ideal","G","VVS2",61.4,54,962,4.81,4.9,2.98
0.41,"Good","D","SI1",63.2,57,738,4.73,4.77,3
1,"Premium","H","SI2",63,61,4088,6.35,6.31,3.99
0.33,"Premium","F","VS2",62.2,58,666,4.43,4.44,2.76
0.73,"Ideal","G","SI1",62.3,54,2321,5.81,5.78,3.61
0.74,"Ideal","E","SI2",59.2,59,2501,5.92,5.97,3.52
0.38,"Premium","F","SI1",62.7,58,898,4.62,4.6,2.89
1.21,"Premium","H","SI1",60.5,59,6566,6.96,6.89,4.19
0.2,"Premium","F","VS2",62.6,59,367,3.73,3.71,2.33
0.33,"Ideal","G","VS2",61.2,55,579,4.46,4.49,2.74
0.59,"Ideal","I","VVS1",61,55,1742,5.43,5.48,3.33
0.32,"Ideal","D","SI1",62.7,54,589,4.37,4.4,2.75
0.37,"Premium","F","SI1",62.4,59,791,4.6,4.56,2.86
0.32,"Ideal","D","VS2",61.3,57,713,4.44,4.46,2.73
1.38,"Very Good","J","VS2",62.7,56,6494,7.06,7.11,4.44
0.32,"Ideal","D","VS2",61.7,54,972,4.43,4.38,2.72
1.27,"Ideal","F","VS2",61,54,10656,7,7.02,4.28
0.71,"Very Good","G","SI2",62.4,54,2171,5.72,5.76,3.58
1.7,"Premium","I","SI2",59.4,59,7250,7.83,7.75,4.63
0.42,"Ideal","H","SI1",62.4,57,700,4.76,4.79,2.98
0.26,"Ideal","G","VS1",62.5,53,508,4.1,4.13,2.57
1.15,"Premium","G","VS2",61.5,58,6492,6.76,6.71,4.14
1.01,"Very Good","H","SI2",61.5,62,4262,6.35,6.44,3.93
0.55,"Ideal","G","VS1",62.2,54,2132,5.27,5.24,3.27
0.73,"Premium","F","VS2",62.3,60,2683,5.77,5.73,3.58
0.43,"Ideal","D","VS1",61.9,55,1264,4.87,4.85,3.01
0.43,"Premium","D","VVS2",59.5,59,1159,4.95,4.97,2.95
0.31,"Ideal","G","IF",61.8,56,891,4.33,4.37,2.69
1.09,"Ideal","D","SI2",61.3,57,5267,6.64,6.67,4.08
0.54,"Good","D","SI1",57.9,60,1767,5.36,5.39,3.11
0.51,"Premium","E","SI1",61.3,54,1546,5.18,5.13,3.16
0.42,"Ideal","D","SI1",62.4,57,810,4.77,4.84,3
1.51,"Good","G","SI2",63.7,57,7695,7.28,7.21,4.62
0.3,"Ideal","G","VS2",62.5,53,675,4.3,4.27,2.68
0.58,"Very Good","E","SI2",63.1,58,1234,5.29,5.32,3.35
0.32,"Premium","I","IF",60.3,58,673,4.41,4.45,2.67
1.2,"Good","I","VS1",59.6,61,5818,6.84,6.89,4.09
0.39,"Very Good","F","VS2",58.4,62,821,4.76,4.79,2.79
0.7,"Very Good","F","SI2",59.9,59,1940,5.75,5.81,3.46
0.5,"Ideal","F","VVS1",60.4,56,2165,5.16,5.21,3.13
1.01,"Premium","I","SI2",59.6,62,3767,6.56,6.5,3.89
0.25,"Ideal","I","VVS1",61.9,55,421,4.07,4.1,2.53
0.4,"Ideal","H","VVS2",62.3,57,1125,4.73,4.71,2.94
0.29,"Very Good","E","VVS2",60.9,57,674,4.29,4.32,2.62
0.72,"Premium","F","VS1",62.2,57,3167,5.74,5.67,3.55
2.02,"Good","I","VS2",57.9,62,16789,8.25,8.3,4.79
1.5,"Good","J","VS1",63.3,57,8736,7.2,7.24,4.57
0.85,"Ideal","J","VS2",61.7,55,2442,6.08,6.11,3.76
1.7,"Very Good","H","VS2",61.9,60,12874,7.57,7.61,4.7
0.72,"Very Good","D","VS2",62.6,59,3075,5.69,5.72,3.57
0.3,"Fair","F","VS1",61.7,66,593,4.25,4.31,2.64
1.06,"Ideal","G","SI1",62,56,5253,6.55,6.52,4.05
0.71,"Premium","D","SI1",61.6,60,2797,5.74,5.69,3.52
0.3,"Ideal","F","IF",62.1,55,886,4.31,4.35,2.69
0.32,"Ideal","I","SI1",60.7,57,432,4.42,4.47,2.7
1.24,"Premium","G","VS1",62,59,7660,6.88,6.92,4.28
1.52,"Very Good","J","VS1",62.2,55,8217,7.35,7.42,4.59
0.23,"Very Good","E","VVS2",61.2,60,505,3.92,3.96,2.41
0.62,"Ideal","F","SI2",62,58,1446,5.44,5.49,3.39
0.9,"Premium","J","SI2",62.7,57,2717,6.09,6.06,3.8
0.71,"Good","F","SI1",64.3,58,2258,5.61,5.55,3.59
0.3,"Ideal","G","VVS1",62.1,58,753,4.26,4.28,2.65
0.91,"Premium","E","I1",59.6,59,2486,6.32,6.29,3.76
1.43,"Premium","F","SI1",61.5,58,8809,7.27,7.22,4.45
1.14,"Premium","I","VS2",62.8,60,5008,6.68,6.59,4.17
1,"Fair","E","SI2",66.6,59,3136,6.07,6.01,4.02
0.71,"Ideal","E","VVS1",61,57,4860,5.75,5.76,3.51
0.41,"Ideal","E","SI2",60.7,57,876,4.85,4.81,2.93
2.03,"Premium","H","I1",59.4,59,7421,8.31,8.22,4.91
0.28,"Very Good","E","VVS2",61.4,60,596,4.18,4.22,2.58
0.52,"Ideal","G","VS2",62,55,2255,5.16,5.19,3.21
1.16,"Premium","I","SI1",62.7,57,4872,6.76,6.67,4.21
0.41,"Premium","F","VVS2",61.6,59,1017,4.79,4.73,2.93
0.43,"Ideal","E","VVS1",61,57,1827,4.85,4.88,2.97
0.64,"Very Good","D","SI2",62.8,54,1629,5.5,5.52,3.46
0.3,"Premium","E","VS2",62.3,58,844,4.32,4.28,2.68
1,"Premium","G","VS2",63,59,5967,6.45,6.32,4.02
0.41,"Ideal","G","VS2",61.4,54,827,4.77,4.84,2.95
0.3,"Ideal","D","SI1",62.5,57,709,4.32,4.29,2.69
1.91,"Good","I","SI2",62.8,58,10937,7.82,7.89,4.93
1,"Fair","H","SI2",63.7,54,3164,6.42,6.27,4.06
0.52,"Very Good","E","SI2",60.7,56,1112,5.17,5.21,3.15
0.33,"Ideal","E","SI1",62.5,55,743,4.45,4.42,2.77
0.59,"Very Good","I","SI1",61.7,55.2,1257,5.39,5.41,3.33
0.32,"Ideal","G","IF",61.6,55,918,4.4,4.43,2.72
0.31,"Ideal","F","VS2",61.6,55,802,4.37,4.36,2.69
0.42,"Ideal","G","VS1",61.9,56,921,4.77,4.82,2.97
0.72,"Premium","J","SI1",62,58,1879,5.77,5.74,3.57
2.01,"Ideal","H","SI1",62.1,55,18295,8.12,8.07,5.03
1.03,"Very Good","J","VS1",63.4,58,4292,6.36,6.42,4.05
0.24,"Ideal","H","VVS1",62.4,56,449,3.99,4.03,2.5
1.02,"Ideal","H","SI1",59.8,58,5505,6.56,6.58,3.93
2.22,"Fair","G","SI2",64.4,58,12508,8.32,8.15,5.3
0.31,"Ideal","D","SI1",61.7,56,541,4.35,4.37,2.69
0.59,"Very Good","I","VVS1",62.8,58,1709,5.3,5.34,3.34
1.25,"Ideal","F","VS1",62,55,9761,6.95,6.91,4.3
1.21,"Very Good","D","SI2",62.4,58,6248,6.77,6.83,4.24
0.56,"Very Good","E","SI2",63.5,57,1259,5.24,5.21,3.32
0.33,"Ideal","I","IF",62.2,56,891,4.45,4.42,2.76
0.43,"Premium","G","VVS1",62,59,1207,4.8,4.82,2.98
0.54,"Ideal","H","VVS1",61.2,57,1814,5.25,5.21,3.2
0.32,"Very Good","I","VS1",59.8,60,505,4.44,4.46,2.66
0.5,"Very Good","F","VVS2",61.9,56,2003,5.09,5.12,3.16
0.4,"Very Good","D","VS1",64,57,995,4.66,4.69,2.99
0.74,"Good","F","VVS1",58.4,60,4336,6.03,6.06,3.53
0.63,"Ideal","D","IF",62.5,55,6549,5.47,5.5,3.43
0.3,"Premium","G","VS2",61.6,60,675,4.33,4.28,2.65
1.23,"Ideal","D","SI2",62.4,56,6289,6.81,6.87,4.27
1.52,"Ideal","H","SI1",61.3,57,9448,7.38,7.32,4.51
1.58,"Ideal","E","SI1",61.4,55,11294,7.53,7.5,4.61
0.75,"Ideal","E","VS1",62,55,3462,5.83,5.88,3.66
0.34,"Very Good","D","SI1",59.8,61,626,4.5,4.53,2.7
0.4,"Ideal","D","VVS2",62.5,55,1010,4.73,4.77,2.97
0.71,"Ideal","I","VS1",61.3,57,2965,5.73,5.76,3.52
0.41,"Premium","E","SI1",61,59,755,4.78,4.82,2.93
0.9,"Premium","E","SI1",59.8,58,4092,6.26,6.21,3.73
2,"Good","G","SI2",64.2,60,9999,7.89,7.81,5.04
0.35,"Ideal","D","VS2",61.8,55,1063,4.56,4.53,2.81
0.39,"Ideal","F","VVS2",62.1,55,988,4.7,4.74,2.93
0.54,"Ideal","E","VS2",61.9,57,1754,5.2,5.23,3.23
0.3,"Premium","G","VVS2",61.9,59,684,4.25,4.28,2.64
0.34,"Ideal","G","VS2",62.2,55,596,4.47,4.5,2.79
0.82,"Good","J","SI1",57.4,59,2140,6.25,6.19,3.57
0.51,"Very Good","E","VS2",62.8,56,1612,5.11,5.14,3.22
0.36,"Ideal","E","VS2",62.8,55,1013,4.56,4.49,2.84
0.57,"Premium","F","VS1",61.3,54,1815,5.41,5.35,3.3
0.78,"Very Good","J","SI1",58,61,2164,6.07,6.13,3.54
0.3,"Very Good","G","VS2",63.1,58,630,4.27,4.23,2.68
0.46,"Fair","F","SI1",64.9,58,1003,4.81,4.77,3.11
0.33,"Ideal","E","VS2",61.9,54,723,4.42,4.47,2.75
0.96,"Very Good","G","SI1",62,59,4136,6.26,6.32,3.9
0.82,"Very Good","G","SI2",62.5,56,2893,5.99,6.04,3.76
0.7,"Ideal","J","SI1",62.3,57,1974,5.69,5.71,3.55
1.55,"Premium","D","SI2",62,58,10905,7.39,7.44,4.6
0.97,"Fair","F","I1",68.5,54,1787,6.26,6.05,4.22
0.91,"Good","G","VS1",63.4,54,4284,6.07,6.24,3.9
1.15,"Ideal","H","VS2",62.4,56,6788,6.71,6.65,4.17
1.51,"Premium","I","VVS2",62.1,58,9328,7.29,7.32,4.54
1.04,"Ideal","G","VS1",61.7,56,7951,6.47,6.52,4.01
0.94,"Fair","H","SI2",66,50.1,3353,6.13,6.17,4.06
0.41,"Ideal","D","VS2",62.2,54,1076,4.81,4.77,2.98
0.93,"Very Good","E","SI1",62.5,58,4537,6.18,6.24,3.88
0.52,"Good","E","VS2",63.3,56,1554,5.08,5.12,3.23
0.7,"Fair","I","VS2",64.7,60,2117,5.55,5.49,3.57
0.71,"Ideal","D","SI2",60.2,57,2262,5.77,5.83,3.49
0.41,"Premium","G","VS2",59.8,58,827,4.8,4.84,2.88
0.59,"Ideal","E","VS2",60.2,61,1941,5.43,5.47,3.28
1.57,"Fair","H","VS1",67.3,66,8133,7.85,5.75,3.87
1.01,"Premium","D","VS2",61,59,6827,6.44,6.41,3.92
1.11,"Premium","F","VS2",61.3,56,7179,6.68,6.63,4.08
1.32,"Ideal","I","SI1",62,57,7162,6.99,7.04,4.35
1.01,"Very Good","D","SI1",61.5,54,5132,6.4,6.47,3.96
1.43,"Very Good","G","VS2",62.2,58,10419,7.15,7.18,4.46
0.46,"Very Good","I","VVS1",62.9,57,1163,4.91,4.95,3.1
0.73,"Fair","D","SI1",64.5,56,2539,5.7,5.65,3.66
0.3,"Ideal","D","VS2",61.5,58,670,4.27,4.31,2.64
0.32,"Ideal","I","VS2",62.5,57,449,4.35,4.39,2.73
0.41,"Very Good","G","VVS2",63.3,59,1051,4.69,4.71,2.97
0.9,"Ideal","G","SI1",62.1,56,4088,6.2,6.16,3.84
1.02,"Good","G","VS2",63.6,57,5816,6.38,6.41,4.07
0.3,"Ideal","H","VVS2",60.4,56,776,4.36,4.32,2.62
0.39,"Premium","G","VS2",62.4,56,1009,4.68,4.64,2.91
0.3,"Ideal","E","VS2",61.8,55,673,4.32,4.33,2.68
1.15,"Premium","G","VS2",61.5,58,6492,6.76,6.71,4.14
0.71,"Ideal","H","SI2",62.7,57,2178,5.66,5.69,3.56
1.08,"Premium","F","VS2",62.1,59,7501,6.54,6.59,4.08
1.2,"Premium","E","SI1",60.9,57,7274,6.86,6.8,4.16
0.43,"Very Good","D","SI1",61,57,774,4.85,4.88,2.97
1.1,"Ideal","F","SI2",62.4,56,5596,6.58,6.62,4.12
0.81,"Ideal","I","SI1",62.5,57,2439,5.98,5.92,3.72
1.51,"Very Good","I","VVS2",61.9,56,9416,7.35,7.38,4.56
1.51,"Ideal","I","SI2",61.8,57,7577,7.43,7.36,4.57
1.01,"Premium","G","VS2",62.1,60,5839,6.35,6.37,3.95
0.91,"Very Good","E","VS2",58.4,63,4823,6.31,6.32,3.69
2.01,"Premium","J","VS2",58.6,61,10401,8.18,8.14,4.78
1.1,"Ideal","G","VS1",61.3,57,7550,6.59,6.66,4.06
0.73,"Ideal","I","VS1",61.1,56,2596,5.79,5.83,3.55
0.53,"Ideal","H","SI1",62.2,54,1205,5.18,5.23,3.24
1,"Good","I","SI1",57.6,61,3640,6.56,6.52,3.77
0.7,"Premium","E","SI2",61.8,58,2037,5.73,5.7,3.53
0.33,"Very Good","H","IF",60.3,59,868,4.47,4.49,2.7
0.31,"Good","J","SI2",63.3,58,335,4.34,4.35,2.75
0.31,"Ideal","E","VS1",61.7,53,800,4.36,4.39,2.7
0.48,"Good","J","SI1",64.4,58,991,4.87,4.92,3.15
0.3,"Ideal","E","VVS1",61.2,57,956,4.36,4.33,2.66
0.41,"Ideal","F","VVS2",61.7,56,1192,4.81,4.78,2.96
0.32,"Ideal","D","VVS2",61.2,56,1030,4.43,4.39,2.7
1.13,"Ideal","H","SI1",62,57,5050,6.73,6.66,4.15
0.41,"Very Good","E","SI1",59.3,61,705,4.8,4.84,2.86
0.35,"Ideal","H","VVS1",62.6,57,1024,4.47,4.45,2.79
1.5,"Ideal","I","VS2",62.6,57,9586,7.26,7.31,4.56
2.01,"Fair","F","I1",58.7,66,7294,8.3,8.19,4.84
1.31,"Ideal","I","VS1",62.2,57,7751,7,7.03,4.36
2.04,"Good","I","SI1",57.7,64,11820,8.39,8.31,4.82
0.58,"Ideal","E","VS1",60.1,57,1965,5.41,5.47,3.27
0.31,"Ideal","I","VS1",61.7,55,544,4.39,4.36,2.7
1.04,"Fair","F","I1",65.4,60,2134,6.39,6.3,4.15
0.32,"Ideal","G","VS2",62.4,55,524,4.36,4.39,2.73
1.13,"Ideal","I","SI2",61.4,56,4481,6.69,6.71,4.12
1.03,"Very Good","I","SI2",63.5,58,5884,6.38,6.4,4.06
0.73,"Good","E","SI2",63.3,57,2388,5.69,5.72,3.61
0.72,"Ideal","E","VS2",62,56,2962,5.73,5.76,3.56
0.57,"Premium","F","VS2",62,54,1760,5.34,5.31,3.3
1.58,"Ideal","H","SI1",61.4,56,10546,7.46,7.53,4.6
1.06,"Premium","F","VS2",62.3,58,6399,6.56,6.51,4.07
1.05,"Good","D","SI2",60,63,4560,6.59,6.64,3.97
0.51,"Ideal","G","IF",61.3,56,2163,5.15,5.19,3.16
0.5,"Very Good","E","VS2",62.8,60,1559,5.02,5.08,3.17
0.55,"Ideal","G","VVS2",62,57,2022,5.22,5.26,3.25
0.42,"Ideal","G","VVS2",62.1,57,1103,4.8,4.77,2.97
1.01,"Very Good","E","VS2",63.1,60,6335,6.3,6.26,3.96
1.13,"Ideal","G","SI2",60.8,56,4707,6.64,6.72,4.06
2.02,"Premium","H","SI2",61.5,58,17166,8.14,8.1,4.99
2,"Premium","G","SI2",62.1,59,15897,8.12,8.02,5.01
0.36,"Good","F","VVS1",62.4,63,858,4.46,4.51,2.8
0.5,"Good","G","SI2",62.3,64,1121,5.1,5.02,3.15
0.5,"Good","E","VS2",63.4,59,1407,5.03,5.06,3.2
0.45,"Fair","F","VS2",64.3,59,1080,4.8,4.75,3.07
0.72,"Ideal","E","VVS2",62.1,57,3093,5.76,5.74,3.57
0.3,"Premium","H","VS1",61,58,675,4.31,4.28,2.62
0.58,"Ideal","H","SI1",61.6,57,1184,5.34,5.38,3.3
1.03,"Premium","H","SI2",62,60,3749,6.47,6.41,4
0.72,"Ideal","E","SI1",61.2,56,2642,5.75,5.79,3.53
1.06,"Very Good","F","VS2",62.2,57,6823,6.53,6.58,4.08
1.02,"Ideal","F","SI2",62.4,57,4398,6.43,6.4,4
0.31,"Ideal","H","IF",62.2,54,789,4.38,4.4,2.73
0.71,"Premium","F","SI2",60.2,60,2331,5.8,5.77,3.48
0.57,"Ideal","F","VS2",60.7,56,2096,5.37,5.41,3.27
1.12,"Premium","D","SI2",59.5,59,4663,6.8,6.75,4.03
0.52,"Very Good","D","VS1",62.5,57,1829,5.11,5.16,3.21
0.71,"Ideal","E","VS1",60.4,56,3238,5.8,5.85,3.52
0.78,"Ideal","G","VS2",61.7,55,3184,5.94,5.89,3.65
0.54,"Very Good","F","VS2",58.2,60,1551,5.34,5.39,3.12
0.73,"Very Good","D","VS1",61.1,59,4116,5.79,5.86,3.56
0.59,"Ideal","E","SI1",62.9,57,1789,5.36,5.33,3.36
1.21,"Premium","H","VS2",58.8,59,6708,7.01,6.98,4.11
0.53,"Ideal","G","VVS1",61.8,56,1956,5.19,5.24,3.22
2.22,"Premium","I","VS2",60.5,59,14662,8.41,8.37,5.08
1.25,"Very Good","J","SI1",62.5,57,4702,6.83,6.86,4.28
0.62,"Ideal","F","VS1",61.2,54,2371,5.55,5.52,3.39
1.06,"Ideal","G","VS2",62.8,55,7160,6.49,6.51,4.08
0.5,"Good","E","SI1",63.3,58,1316,4.99,5.03,3.17
1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03
1.02,"Premium","I","SI2",62.2,58,4061,6.41,6.36,3.97
0.51,"Very Good","D","VS2",63.5,56,1793,5.1,5.07,3.23
0.3,"Very Good","F","SI1",62.1,61,500,4.25,4.29,2.65
0.32,"Ideal","F","IF",61.9,55,915,4.38,4.44,2.73
1.27,"Premium","G","SI1",61.4,59,7133,6.98,6.94,4.27
0.71,"Good","G","SI2",63.6,58,1816,5.6,5.54,3.55
0.5,"Very Good","F","SI1",61.2,61,1250,5.06,5.1,3.11
1.04,"Very Good","H","SI1",62.8,57,4564,6.44,6.48,4.06
0.42,"Ideal","G","VVS1",60.6,56,1179,4.86,4.88,2.95
0.7,"Very Good","H","SI2",61.6,56.1,2306,5.72,5.77,3.53
0.57,"Ideal","G","VVS2",61.7,56,2095,5.3,5.33,3.28
0.31,"Ideal","H","SI1",61.9,56,595,4.38,4.35,2.7
0.7,"Good","D","SI2",63.3,56,2264,5.6,5.65,3.56
0.9,"Very Good","F","SI2",61.4,62,3770,6.11,6.2,3.78
1.09,"Fair","I","SI1",56.4,62,4273,6.97,6.9,3.9
2,"Premium","H","SI2",58.9,57,12210,8.09,58.9,8.06
1.03,"Very Good","G","SI2",63.1,58,4060,6.41,6.37,4.03
0.3,"Ideal","D","SI1",61.9,54,709,4.34,4.32,2.68
0.3,"Good","G","VS1",63.3,56,605,4.26,4.3,2.71
0.42,"Ideal","E","VVS1",61.6,56,1400,4.81,4.84,2.97
1.02,"Premium","E","VS2",60.4,58,6397,6.51,6.47,3.92
0.8,"Very Good","G","VVS2",62.5,56,4002,5.95,5.98,3.73
1.01,"Premium","G","SI1",59.9,56,4875,6.6,6.45,3.91
0.59,"Ideal","F","VVS2",62.1,57,2551,5.37,5.38,3.34
0.38,"Very Good","F","VS1",61.4,61,746,4.66,4.69,2.87
2,"Fair","J","I1",66.5,56,6796,7.93,7.8,5.23
1.25,"Very Good","H","SI2",61.6,54,5637,6.85,6.95,4.25
0.35,"Ideal","G","SI2",61.2,56,517,4.56,4.59,2.8
0.71,"Ideal","I","VS1",62.1,56,2306,5.68,5.72,3.54
0.38,"Ideal","H","VVS2",61.4,57,833,4.63,4.65,2.85
1.15,"Ideal","H","SI2",62,57,4830,6.75,6.66,4.16
0.52,"Ideal","G","VS1",62.3,55,1815,5.16,5.14,3.21
1.05,"Ideal","E","SI2",60.3,61,4714,6.56,6.6,3.97
1.15,"Premium","I","SI1",59.6,58,4959,6.86,6.82,4.08
1.21,"Very Good","H","SI1",60.4,58,6892,6.91,6.96,4.19
0.7,"Very Good","E","SI2",63.5,54,2310,5.69,5.64,3.6
0.96,"Premium","J","SI1",62.9,59,3187,6.3,6.22,3.94
0.4,"Good","E","VVS2",58.5,60,1059,4.82,4.86,2.83
1.21,"Ideal","H","VVS2",60.4,57,7954,6.9,6.93,4.18
0.73,"Very Good","G","SI1",60.6,59,2585,5.83,5.85,3.54
1.09,"Premium","E","SI1",62.5,57,5640,6.61,6.55,4.11
0.4,"Ideal","G","VVS1",61.6,57,1200,4.76,4.75,2.93
0.72,"Ideal","F","SI2",61.1,59,2466,5.74,5.79,3.52
0.31,"Ideal","G","VVS1",61.2,56,816,4.34,4.38,2.67
0.39,"Ideal","J","SI1",62.6,53,539,4.68,4.71,2.94
0.3,"Premium","H","SI1",60.1,55,554,4.41,4.38,2.64
2.01,"Ideal","I","SI1",62.5,57,15140,8.08,8.01,5.03
0.3,"Ideal","F","VS2",60.7,57,605,4.29,4.34,2.62
1.51,"Premium","E","VS2",62.6,60,14844,7.28,7.22,4.54
1.52,"Premium","J","VS1",62.5,58,9014,7.37,7.34,4.6
2,"Very Good","J","VS2",61.9,60,14403,7.95,8.04,4.95
0.86,"Ideal","E","SI2",60,56,3478,6.22,6.24,3.74
0.51,"Good","J","VS2",63.1,56,984,5.1,5.13,3.23
0.33,"Ideal","F","VS2",61.4,57,666,4.45,4.48,2.74
0.5,"Good","J","SI1",59.6,60,959,5.15,5.18,3.08
1.7,"Premium","D","SI1",61.9,59,15238,7.64,7.61,4.72
0.31,"Ideal","G","IF",61.6,55,891,4.35,4.38,2.69
0.41,"Ideal","J","VS1",60.2,57,830,4.85,4.81,2.91
0.9,"Good","H","SI1",58.9,61,3734,6.27,6.36,3.72
0.72,"Premium","F","SI1",59.5,62,2670,5.85,5.74,3.45
1,"Premium","G","SI1",60.8,58,4816,6.48,6.45,3.93
0.37,"Ideal","E","VS1",60.9,56,950,4.65,4.68,2.84
0.55,"Ideal","E","VS1",61.2,57,2001,5.28,5.3,3.24
2.43,"Very Good","H","SI2",63.2,57,16170,8.56,8.5,5.39
0.38,"Ideal","I","VVS2",62,55,836,4.65,4.67,2.89
0.3,"Ideal","J","VS2",61.6,56,384,4.31,4.33,2.66
1.01,"Very Good","G","SI1",62.8,56,5049,6.35,6.43,4.01
1.02,"Premium","F","SI2",60.2,61,4238,6.52,6.48,3.91
0.32,"Premium","J","VS2",61.9,58,393,4.35,4.38,2.7
2.1,"Premium","I","VS2",60.7,61,14394,8.28,8.27,5.02
1.05,"Very Good","E","SI2",63.3,57,4763,6.5,6.46,4.1
0.42,"Ideal","H","VVS1",62.4,55,1142,4.8,4.79,2.99
1.51,"Very Good","H","SI2",60.8,56,8372,7.41,7.46,4.52
1.02,"Good","H","SI2",58.6,64,3427,6.32,6.26,3.68
